name,category,blueprint,blueprint_id,level,expected_level,sessions,cred_score,cred_failures,empty_slots,dup_sessions,cond_ratio,sport,equipment,training_age,fatigue,injury_status,injury_history,goal,season
youth_00,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,cricket,Basic Gym,0.1,normal,none,none,power,in_season
youth_01,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,badminton,Basic Gym,0.1,normal,none,none,power,off_season
youth_02,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,badminton,Basic Gym,0.4,high,none,none,strength,in_season
youth_03,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,soccer,Field Only,1.4,high,none,none,strength,in_season
youth_04,youth,Deload / Active Recovery,13,Beginner,Beginner,16,0.9,volume_load_match,0,0,0.5,tennis,Field Only,1.2,high,none,none,mass,transition
youth_05,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,tennis,Basic Gym,0.9,normal,none,none,strength,off_season
youth_06,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,badminton,Commercial Gym,0.5,high,none,none,power,in_season
youth_07,youth,Full Body Strength,1,Beginner,Beginner,24,1.0,,0,0,0.5,rugby,Elite Facility,1.0,normal,none,none,power,pre_season
youth_08,youth,Youth Foundation (U14-U20),7,Beginner,Beginner,16,1.0,,0,0,0.5,cricket,Elite Facility,0.4,high,none,none,speed,off_season
youth_09,youth,Deload / Active Recovery,13,Beginner,Beginner,16,0.9,volume_load_match,0,0,0.5,badminton,Commercial Gym,0.7,high,none,none,power,transition
masters_00,masters,Deload / Active Recovery,13,Advanced,Advanced,16,0.9,volume_load_match,0,0,0.5,badminton,Basic Gym,23.3,high,none,low_back,speed,transition
masters_01,masters,Full Body Strength,1,Beginner,Beginner,24,1.0,,0,0,0.5,cricket,Elite Facility,22.6,high,none,knee,power,pre_season
masters_02,masters,Court Sport Athletic Development,8,Advanced,Advanced,24,0.9,session_flow,0,0,0.5,badminton,Commercial Gym,17.0,normal,none,"shoulder,hamstring",strength,off_season
masters_03,masters,Court Sport Athletic Development,8,Beginner,Beginner,24,0.9,session_flow,0,0,0.5,badminton,Basic Gym,10.7,high,none,none,speed,off_season
masters_04,masters,Sprint Development,10,Beginner,Beginner,24,0.9,volume_load_match,0,0,0.5,rugby,Basic Gym,18.4,high,none,none,speed,pre_season
masters_05,masters,Full Body Strength,1,Beginner,Beginner,24,1.0,,0,0,0.5,cricket,Basic Gym,9.9,normal,none,none,speed,in_season
masters_06,masters,Full Body Strength,1,Advanced,Advanced,24,1.0,,0,0,0.5,badminton,Elite Facility,21.9,high,none,low_back,power,pre_season
masters_07,masters,Full Body Strength,1,Advanced,Advanced,24,1.0,,0,0,0.5,rugby,Basic Gym,15.2,high,none,knee,general,pre_season
masters_08,masters,Full Body Strength,1,Beginner,Beginner,24,1.0,,0,0,0.5,rugby,Field Only,15.7,normal,none,low_back,power,pre_season
masters_09,masters,Full Body Strength,1,Advanced,Advanced,24,1.0,,0,0,0.5,cricket,Field Only,20.0,normal,none,"shoulder,hamstring",power,off_season
return_to_play_00,return_to_play,Return to Sport (Foundation),12,Beginner,Beginner,24,1.0,,0,0,0.5,soccer,Basic Gym,4.1,high,active,"acl_left,shoulder",return_to_sport,transition
return_to_play_01,return_to_play,Return to Sport (Foundation),12,Beginner,Beginner,24,0.9,no_duplicate_exercises,0,23,0.5,badminton,Field Only,9.9,high,active,shoulder,return_to_sport,pre_season
return_to_play_02,return_to_play,Return to Sport (Foundation),12,Beginner,Beginner,24,0.9,no_duplicate_exercises,0,23,0.5,badminton,Field Only,10.5,normal,active,shoulder,return_to_sport,off_season
return_to_play_03,return_to_play,Return to Sport (Foundation),12,Beginner,Beginner,24,1.0,,0,0,0.5,soccer,Basic Gym,3.1,normal,active,hamstring,return_to_sport,transition
return_to_play_04,return_to_play,Return to Sport (Foundation),12,Advanced,Advanced,24,1.0,,0,0,0.5,badminton,Field Only,9.9,normal,active,acl_left,return_to_sport,off_season
return_to_play_05,return_to_play,Return to Sport (Foundation),12,Advanced,Advanced,24,1.0,,0,0,0.5,soccer,Basic Gym,5.5,high,active,low_back,return_to_sport,transition
return_to_play_06,return_to_play,Return to Sport (Foundation),12,Beginner,Beginner,24,1.0,,0,0,0.5,badminton,Commercial Gym,3.9,high,active,"acl_left,shoulder",return_to_sport,transition
