"Name","Folder","SizeKB","Modified","FirstHeading","FullPath"
"CAPABILITIES.md",".opencode-flow","12.7","16-06-2026 10:07:07","# OpenCode Orchestrator - Complete Capabilities Reference","D:\forge\.opencode-flow\CAPABILITIES.md"
"SKILL.md",".opencode\skills\agentdb-advanced","12.8","16-06-2026 10:03:19","# AgentDB Advanced Features","D:\forge\.opencode\skills\agentdb-advanced\SKILL.md"
"SKILL.md",".opencode\skills\agentdb-learning","11.7","16-06-2026 10:03:19","# AgentDB Learning Plugins","D:\forge\.opencode\skills\agentdb-learning\SKILL.md"
"SKILL.md",".opencode\skills\agentdb-memory-patterns","8.5","16-06-2026 10:03:19","# AgentDB Memory Patterns","D:\forge\.opencode\skills\agentdb-memory-patterns\SKILL.md"
"SKILL.md",".opencode\skills\agentdb-optimization","11.9","16-06-2026 10:03:19","# AgentDB Performance Optimization","D:\forge\.opencode\skills\agentdb-optimization\SKILL.md"
"SKILL.md",".opencode\skills\agentdb-vector-search","8.8","16-06-2026 10:03:19","# AgentDB Vector Search","D:\forge\.opencode\skills\agentdb-vector-search\SKILL.md"
"SKILL.md",".opencode\skills\github-code-review","25.5","16-06-2026 10:03:20","# GitHub Code Review Skill","D:\forge\.opencode\skills\github-code-review\SKILL.md"
"SKILL.md",".opencode\skills\github-multi-repo","22.3","16-06-2026 10:03:20","# GitHub Multi-Repository Coordination Skill","D:\forge\.opencode\skills\github-multi-repo\SKILL.md"
"SKILL.md",".opencode\skills\github-project-management","27.8","16-06-2026 10:03:20","","D:\forge\.opencode\skills\github-project-management\SKILL.md"
"SKILL.md",".opencode\skills\github-release-management","29","16-06-2026 10:03:20","# GitHub Release Management Skill","D:\forge\.opencode\skills\github-release-management\SKILL.md"
"SKILL.md",".opencode\skills\github-workflow-automation","23.4","16-06-2026 10:03:20","# GitHub Workflow Automation Skill","D:\forge\.opencode\skills\github-workflow-automation\SKILL.md"
"SKILL.md",".opencode\skills\hooks-automation","30.6","16-06-2026 10:03:20","# Hooks Automation","D:\forge\.opencode\skills\hooks-automation\SKILL.md"
"SKILL.md",".opencode\skills\pair-programming","23.9","16-06-2026 10:03:20","# Pair Programming","D:\forge\.opencode\skills\pair-programming\SKILL.md"
"SKILL.md",".opencode\skills\reasoningbank-agentdb","10.7","16-06-2026 10:03:20","# ReasoningBank with AgentDB","D:\forge\.opencode\skills\reasoningbank-agentdb\SKILL.md"
"SKILL.md",".opencode\skills\reasoningbank-intelligence","4.7","16-06-2026 10:03:20","# ReasoningBank Intelligence","D:\forge\.opencode\skills\reasoningbank-intelligence\SKILL.md"
"SKILL.md",".opencode\skills\skill-builder","21.4","16-06-2026 10:03:20","# Skill Builder","D:\forge\.opencode\skills\skill-builder\SKILL.md"
"SKILL.md",".opencode\skills\sparc-methodology","3.3","16-06-2026 10:03:20","# Sparc Methodology Skill","D:\forge\.opencode\skills\sparc-methodology\SKILL.md"
"SKILL.md",".opencode\skills\stream-chain","12.4","16-06-2026 10:03:20","# Stream-Chain Skill","D:\forge\.opencode\skills\stream-chain\SKILL.md"
"SKILL.md",".opencode\skills\swarm-advanced","23.3","16-06-2026 10:03:20","# Advanced Swarm Orchestration","D:\forge\.opencode\skills\swarm-advanced\SKILL.md"
"SKILL.md",".opencode\skills\swarm-orchestration","3.1","16-06-2026 10:03:20","# Swarm Orchestration Skill","D:\forge\.opencode\skills\swarm-orchestration\SKILL.md"
"SKILL.md",".opencode\skills\v3-cli-modernization","25.1","16-06-2026 10:03:21","# V3 CLI Modernization","D:\forge\.opencode\skills\v3-cli-modernization\SKILL.md"
"SKILL.md",".opencode\skills\v3-core-implementation","21.5","16-06-2026 10:03:21","# V3 Core Implementation","D:\forge\.opencode\skills\v3-core-implementation\SKILL.md"
"SKILL.md",".opencode\skills\v3-ddd-architecture","11.9","16-06-2026 10:03:21","# V3 DDD Architecture","D:\forge\.opencode\skills\v3-ddd-architecture\SKILL.md"
"SKILL.md",".opencode\skills\v3-integration-deep","7.1","16-06-2026 10:03:21","# V3 Deep Integration","D:\forge\.opencode\skills\v3-integration-deep\SKILL.md"
"SKILL.md",".opencode\skills\v3-mcp-optimization","21","16-06-2026 10:03:21","# V3 MCP Optimization","D:\forge\.opencode\skills\v3-mcp-optimization\SKILL.md"
"SKILL.md",".opencode\skills\v3-memory-unification","5.1","16-06-2026 10:03:21","# V3 Memory Unification","D:\forge\.opencode\skills\v3-memory-unification\SKILL.md"
"SKILL.md",".opencode\skills\v3-performance-optimization","11.2","16-06-2026 10:03:21","# V3 Performance Optimization","D:\forge\.opencode\skills\v3-performance-optimization\SKILL.md"
"SKILL.md",".opencode\skills\v3-security-overhaul","2.4","16-06-2026 10:03:21","# V3 Security Overhaul","D:\forge\.opencode\skills\v3-security-overhaul\SKILL.md"
"SKILL.md",".opencode\skills\v3-swarm-coordination","11.9","16-06-2026 10:03:21","# V3 Swarm Coordination","D:\forge\.opencode\skills\v3-swarm-coordination\SKILL.md"
"SKILL.md",".opencode\skills\verification-quality","15.7","16-06-2026 10:03:21","# Verification & Quality Assurance Skill","D:\forge\.opencode\skills\verification-quality\SKILL.md"
"architecture_reality_audit.md","D:\forge","19.9","16-06-2026 12:23:58","# Architecture Reality Audit","D:\forge\architecture_reality_audit.md"
"AUDIT_09_IMPLEMENTATION_PLAN_VALIDATION.md","D:\forge","42.1","17-06-2026 21:55:55","# AUDIT #9 — IMPLEMENTATION PLAN VALIDATION","D:\forge\AUDIT_09_IMPLEMENTATION_PLAN_VALIDATION.md"
"AUDIT_10_SEED_DATA_KNOWLEDGE_GRAPH_INTEGRITY_REVIEW.md","D:\forge","27.7","17-06-2026 22:06:07","# AUDIT #10 — Seed Data & Knowledge Graph Integrity Review","D:\forge\AUDIT_10_SEED_DATA_KNOWLEDGE_GRAPH_INTEGRITY_REVIEW.md"
"AUDIT_11_SPORTS_SCIENCE_COACHING_LOGIC_VALIDATION.md","D:\forge","58","17-06-2026 22:12:24","# AUDIT #11 — SPORTS SCIENCE & COACHING LOGIC VALIDATION","D:\forge\AUDIT_11_SPORTS_SCIENCE_COACHING_LOGIC_VALIDATION.md"
"AUDIT_COACHING_CREDIBILITY.md","D:\forge","21.8","18-06-2026 21:32:03","# FORGE Coaching Credibility Audit","D:\forge\AUDIT_COACHING_CREDIBILITY.md"
"audit_implementation_traceability_matrix.md","D:\forge","33.2","16-06-2026 10:50:40","# Audit Implementation Traceability Matrix","D:\forge\audit_implementation_traceability_matrix.md"
"AUDIT_PHASE_1_2_3.md","D:\forge","5.2","16-06-2026 20:25:07","# Phase 1: Current Routing Audit — Evidence","D:\forge\AUDIT_PHASE_1_2_3.md"
"AUDIT_PHASE_4_5_6.md","D:\forge","5.9","16-06-2026 20:26:05","# Phase 4-6: Refactor Design, Validation, and Impact Analysis","D:\forge\AUDIT_PHASE_4_5_6.md"
"BCCI_PATTERN_EXTRACTION_REPORT.md","D:\forge","11.6","18-06-2026 22:48:53","# BCCI Pattern Extraction Report","D:\forge\BCCI_PATTERN_EXTRACTION_REPORT.md"
"BODYWEIGHT_GAP_MATRIX.md","D:\forge","12.9","18-06-2026 22:31:45","# Bodyweight Gap Matrix","D:\forge\BODYWEIGHT_GAP_MATRIX.md"
"deficit_template_mapping_audit.md","D:\forge","25.5","16-06-2026 10:54:35","# Deficit → Goal → Template Mapping Audit","D:\forge\deficit_template_mapping_audit.md"
"exercise_gap_report.md","D:\forge","24.6","15-06-2026 19:05:58","# Forge Exercise Knowledge Base — Gap Report","D:\forge\exercise_gap_report.md"
"exercise_system_audit.md","D:\forge","25.9","15-06-2026 18:59:05","# Forge Exercise System Audit","D:\forge\exercise_system_audit.md"
"FORGE_ADVERSARIAL_VALIDATION_V1.md","D:\forge","18.4","19-06-2026 14:19:00","# FORGE Adversarial Validation V1","D:\forge\FORGE_ADVERSARIAL_VALIDATION_V1.md"
"FORGE_BLUEPRINT_CATALOG_V1.md","D:\forge","15.2","18-06-2026 21:26:48","# FORGE Blueprint Catalog V1","D:\forge\FORGE_BLUEPRINT_CATALOG_V1.md"
"FORGE_BLUEPRINT_DATABASE.md","D:\forge","23","18-06-2026 15:38:47","# FORGE Blueprint Database","D:\forge\FORGE_BLUEPRINT_DATABASE.md"
"FORGE_BLUEPRINT_FIRST_ARCHITECTURE_REVIEW.md","D:\forge","17.4","18-06-2026 15:51:49","# FORGE Blueprint-First Architecture Review","D:\forge\FORGE_BLUEPRINT_FIRST_ARCHITECTURE_REVIEW.md"
"FORGE_BLUEPRINT_SELECTION_GUIDE_V1.md","D:\forge","24.1","18-06-2026 23:34:32","# FORGE Blueprint Selection Guide V1","D:\forge\FORGE_BLUEPRINT_SELECTION_GUIDE_V1.md"
"FORGE_BLUEPRINT_V2.md","D:\forge","23.8","18-06-2026 23:00:25","# FORGE Blueprint V2","D:\forge\FORGE_BLUEPRINT_V2.md"
"FORGE_COACH_CONSENSUS_SIMULATION_V1.md","D:\forge","15.6","19-06-2026 14:25:45","# FORGE Coach Consensus Simulation V1","D:\forge\FORGE_COACH_CONSENSUS_SIMULATION_V1.md"
"FORGE_COACH_PILOT_PROTOCOL_V1.md","D:\forge","15.4","19-06-2026 14:12:44","# FORGE Coach Pilot Protocol V1","D:\forge\FORGE_COACH_PILOT_PROTOCOL_V1.md"
"FORGE_COACHING_BIBLE_V1.md","D:\forge","63.8","18-06-2026 23:27:28","# FORGE COACHING BIBLE V1","D:\forge\FORGE_COACHING_BIBLE_V1.md"
